match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
7904219300,6650658819,False,1724064169,1571,7,22,44,4,152,"[1, 81, 30, 92, 126]","[59, 14, 42, 105, 72]"
7904217913,6650658778,True,1724064103,1648,0,4,14,4,185,"[47, 35, 26, 33, 14]","[21, 6, 79, 123, 89]"
7904215611,6650658767,False,1724063963,1745,7,22,52,3,185,"[30, 104, 67, 136, 17]","[2, 123, 35, 50, 42]"
7904215319,6650658788,True,1724063943,1752,0,22,33,3,184,"[105, 114, 8, 9, 71]","[70, 129, 74, 22, 79]"
7904214407,6650658818,False,1724063904,1754,7,22,81,7,152,"[35, 106, 14, 92, 114]","[21, 112, 136, 137, 52]"
7904214217,6650658815,False,1724063889,1846,7,22,21,3,181,"[53, 42, 94, 39, 50]","[19, 1, 68, 5, 97]"
7904212119,6650658743,True,1724063779,1932,7,22,72,7,181,"[107, 104, 37, 26, 80]","[121, 64, 44, 129, 114]"
7904215905,6650658968,False,1724063993,1729,7,22,15,2,181,"[53, 84, 99, 113, 8]","[128, 95, 106, 74, 104]"
7904210402,6650658867,False,1724063688,2036,7,22,81,10,153,"[22, 112, 94, 7, 106]","[83, 52, 53, 1, 20]"
7904209803,6650658900,True,1724063654,2071,7,22,61,2,193,"[2, 21, 1, 14, 123]","[25, 45, 12, 5, 34]"
7904220219,6650659071,False,1724064224,1519,7,22,21,3,227,"[42, 5, 18, 75, 67]","[23, 135, 92, 47, 35]"
7904213612,6650659156,True,1724063868,1853,7,22,74,6,193,"[46, 108, 57, 107, 22]","[7, 82, 16, 105, 63]"
7904223919,6650659188,True,1724064434,1231,7,22,33,4,181,"[26, 37, 44, 74, 60]","[96, 110, 83, 113, 18]"
7904216605,6650659275,False,1724064019,1719,0,22,73,2,153,"[52, 9, 74, 94, 40]","[121, 93, 57, 25, 17]"
7904213418,6650659290,False,1724063858,1803,7,22,81,5,272,"[70, 14, 11, 83, 16]","[86, 39, 102, 50, 109]"
7904230605,6650661173,False,1724064773,999,7,22,81,6,153,"[1, 64, 43, 19, 86]","[27, 62, 88, 59, 11]"
7904225815,6650660490,False,1724064533,1327,7,22,42,5,184,"[46, 93, 64, 42, 101]","[91, 80, 87, 12, 35]"
7904225219,6650661132,True,1724064493,1366,7,22,51,3,185,"[75, 104, 83, 11, 19]","[111, 71, 56, 1, 108]"
7904222315,6650659865,True,1724064343,1454,7,22,32,6,181,"[37, 99, 14, 6, 19]","[74, 42, 71, 1, 64]"
7904221910,6650659893,False,1724064314,1468,7,22,71,6,273,"[30, 137, 14, 92, 54]","[70, 61, 22, 26, 42]"
7904221812,6650659868,True,1724064313,1454,7,22,32,3,184,"[110, 74, 37, 8, 2]","[96, 60, 47, 14, 126]"
7904221315,6650661119,True,1724064263,1577,7,22,21,6,187,"[26, 54, 71, 74, 14]","[9, 25, 49, 95, 27]"
7904220412,6650660661,False,1724064234,1606,7,22,34,5,272,"[71, 62, 74, 11, 136]","[107, 14, 39, 82, 5]"
7904220114,6650660205,True,1724064218,1579,7,22,34,2,151,"[92, 1, 14, 27, 53]","[19, 43, 12, 86, 62]"
7904219514,6650660486,False,1724064189,1657,7,22,42,6,186,"[51, 61, 30, 10, 25]","[55, 39, 11, 33, 20]"
7904218307,6650660159,False,1724064123,1641,7,22,21,2,192,"[129, 14, 38, 44, 31]","[10, 20, 53, 82, 42]"
7904218012,6650659513,True,1724064104,1660,7,22,22,2,236,"[27, 21, 30, 18, 11]","[67, 42, 51, 74, 121]"
7904217803,6650659385,False,1724064098,1659,7,22,54,4,225,"[105, 87, 8, 53, 40]","[64, 71, 106, 77, 11]"
7904217004,6650659817,True,1724064033,1713,7,22,63,3,272,"[14, 18, 49, 60, 91]","[70, 123, 96, 106, 101]"
7904216108,6650660742,False,1724064004,1744,7,22,31,2,272,"[7, 44, 14, 74, 136]","[63, 135, 27, 89, 39]"
7904215810,6650660202,True,1724063989,1831,7,22,64,9,185,"[14, 74, 73, 64, 71]","[91, 121, 92, 93, 104]"
7904215116,6650659653,False,1724063944,1836,7,22,33,5,236,"[41, 40, 30, 49, 36]","[71, 8, 79, 25, 123]"
7904214909,6650660820,False,1724063924,1935,7,22,41,3,236,"[86, 30, 40, 44, 108]","[84, 10, 26, 105, 17]"
7904214810,6650659600,True,1724063928,1854,7,22,71,5,181,"[119, 108, 123, 44, 13]","[86, 87, 18, 16, 22]"
7904214409,6650660725,False,1724063908,1867,7,22,34,4,182,"[91, 15, 33, 44, 21]","[71, 45, 10, 5, 1]"
7904214115,6650661042,True,1724063889,1910,7,22,61,5,182,"[40, 75, 44, 88, 16]","[50, 123, 33, 81, 34]"
7904214101,6650659708,False,1724063894,1847,7,22,74,3,185,"[56, 11, 44, 2, 27]","[121, 19, 73, 38, 31]"
